Futures Symbol,Exchange,Name,Hold Roll Cycle,Priced Roll Cycle,CME Months,Start Year
ES,CME,E-mini S&P 500 Futures,HMUZ,HMUZ,HMUZ,1999
NQ,CME,E-mini NASDAQ 100 Futures,HMUZ,HMUZ,HMUZ,2000
US,CBT,U.S. Treasury Bond Futures,HMUZ,HMUZ,HMUZ,1978
TY,CBT,10 Yr Note Futures,HMUZ,HMUZ,HMUZ,1983
FV,CBT,5 Yr Note Futures,HMUZ,HMUZ,HMUZ,1989
TU,CBT,2 Yr Note Futures,HMUZ,HMUZ,HMUZ,1991
ED,CME,Eurodollar Futures,HMUZ,HMUZ,HJKMNQUZ,1982
GC,CEC,Gold Futures,GMVZ,GJMQVZ,GHJKMQVZ,1981
SI,CEC,Silver Futures,FHKNUZ,FHKNUZ,FHJKNUZ,1965
PL,NYMEX,Platinum Futures,FJNV,FJNV,FHJKNV,1969
PA,NYMEX,Palladium Futures,HMUZ,HMUZ,HJKMUZ,1977
HG,CEC,Copper Futures,HMUZ,HKNUZ,FGHJKMNQUVXZ,1960
S,CBT,Soybean Futures,X,FHKNQUX,FHKNQUX,1962
SM,CBT,Soybean Meal Futures,Z,FHKNQUVZ,FHKNQUVZ,1962
BO,CBT,Soybean Oil Futures,Z,FHKNQUVZ,FHKNQUVZ,1962
C,CBT,Corn Futures,Z,HKNUZ,HKNUZ,1960
W,CBT,Wheat Futures,Z,HKNUZ,HKNUZ,1960
CL,NYMEX,Crude Oil Futures,Z,FGHJKMNQUVXZ,FGHJKMNQUVXZ,1984
NG,NYMEX,Natural Gas (Henry Hub) Physical Futures,FJNV,FGHJKMNQUVXZ,FGHJKMNQUVXZ,1991
RB,NYMEX,RBOB Gasoline Physical Futures,FGHJKMNQUVXZ,FGHJKMNQUVXZ,FGHJKMNQUVXZ,2006
HO,NYMEX,NY Harbor ULSD Futures,M,FGHJKMNQUVXZ,FGHJKMNQUVXZ,1980
FC,CME,Feeder Cattle Futures,FHJKQUVX,FHJKQUVX,FHJKQUVX,1982
LC,CME,Live Cattle Futures,V,GJMQVZ,GJMQVZ,1966
LN,CME,Lean Hog Futures,M,GJMNQVZ,GJKMNQVZ,1970
EC,CME,Euro FX Futures,HMUZ,HMUZ,HMUZ,1999
BP,CME,British Pound Futures,HMUZ,HMUZ,HMUZ,1976
JY,CME,Japanese Yen Futures,HMUZ,HMUZ,HMUZ,1977
CD,CME,Canadian Dollar Futures,HMUZ,HMUZ,HMUZ,1978
MP,CME,Mexican Peso Futures,HMUZ,HMUZ,FGHJKMNQUVXZ,1996
AD,CME,Australian Dollar Futures,HMUZ,HMUZ,HMUZ,1987
NE,CME,New Zealand Dollar Futures,HMUZ,HMUZ,HMUZ,1998
SF,CME,Swiss Franc Futures,HMUZ,HMUZ,HMUZ,1976
